month_year,maxTemp,minTemp,meanTemp,vapPress,cldCover,precipitation
09/1923,15.1,7.6,11.3,11.5,74,122.2
10/1923,12,6,8.9,10.1,80.9,163.4
11/1923,6.2,0.6,3.4,7.1,82.3,129.3
12/1923,6.3,0.9,3.6,7,85.3,136.3
01/1924,6.7,1.8,4.2,7.5,86.6,116.3
02/1924,5.9,0.7,3.3,6.9,82.6,45.4
03/1924,7.1,0,3.5,6.6,74.7,44.2
04/1924,9.8,2.2,6,7.7,73.2,76.2
05/1924,13.5,5.8,9.6,9.6,74.3,119.7
06/1924,16.1,8.7,12.3,11.8,77.7,76.6
07/1924,17.7,9.9,13.8,13.2,75.8,128.8
08/1924,16.6,10,13.3,13.8,80.4,121.7
09/1924,15,8.6,11.8,12.3,79.8,145.6
10/1924,12.4,6.1,9.3,10.4,79.6,132.7
11/1924,9.5,4.3,6.9,9.1,84.4,89.1
12/1924,8.7,3.9,6.3,8.9,88.3,162.4
01/1925,7.6,2.5,5,7.9,85.3,107.4
02/1925,6.6,1.1,3.8,7,80.7,145.1
03/1925,7.4,1.3,4.3,7.2,80,58.3
04/1925,10.3,2.6,6.4,8,72.6,93.5
05/1925,13.5,6.3,9.9,10.3,78.1,115.6
06/1925,17.9,8.8,13.3,12.3,67.3,16
07/1925,19.1,11,15,14.2,74.5,83.7
08/1925,18,10.6,14.3,13.9,76.3,88
09/1925,14.2,7.3,10.7,11.5,77.5,117.8
10/1925,12.8,6.4,9.6,10.4,78.2,119.5
11/1925,6.6,1.1,3.8,7.4,82.7,74.3
12/1925,5.3,-0.1,2.6,6.5,85.3,123.1
01/1926,7.2,1.9,4.5,7.5,84.8,145.1
02/1926,8.1,3,5.5,7.6,82.6,105.2
03/1926,8.8,2.5,5.6,7.7,79.2,63
04/1926,12.1,4.6,8.3,9.1,72.6,70
05/1926,12.9,5.2,9,9.5,74.9,78.9
06/1926,16.2,8.3,12.2,12.1,74.5,78.2
07/1926,19.2,11.6,15.4,14.4,77,81.9
08/1926,19,11,15,14.2,72.4,88.2
09/1926,16.7,9.4,13,12.7,75.1,93.1
10/1926,10.7,4,7.4,9,77.4,139.6
11/1926,8.5,2.6,5.5,8.1,81.7,173.5
12/1926,6.6,1.7,4.1,7.5,87.9,55.5
01/1927,6.7,1.6,4.2,7.4,85.7,132.7
02/1927,7.1,1.4,4.3,7.3,79.7,79.4
03/1927,9.5,3.1,6.3,8,78.6,101
04/1927,10.3,3.2,6.7,8,75.7,86.4
05/1927,13.7,5.1,9.4,9.3,67.7,54.8
06/1927,14.8,6.8,10.8,10.7,74.6,111.3
07/1927,18.2,11.1,14.6,14.1,79.7,98.9
08/1927,18.2,10.8,14.5,14.1,76.8,133.8
09/1927,14.6,8.2,11.4,11.8,79.4,172.8
10/1927,13,6,9.5,10.1,76.1,120.3
11/1927,8.2,2.8,5.4,8.1,83.5,125.7
12/1927,4.4,-0.1,2.1,6.7,90.5,78.7
01/1928,7.4,1.5,4.4,7.2,82.7,212.4
02/1928,8,2,5,7.3,78.3,106.3
03/1928,7.8,1.9,4.9,7.5,81,103.9
04/1928,10.8,3.4,7.1,8.4,74.2,48.8
